Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team
14,Cam Spencer,24,SG,10,0,121,3.9,8.9,0.433,1.5,4.8,0.313,2.4,4.2,0.571,0.517,2.7,2.7,1.0,1.5,3.6,5.1,4.8,0.9,0.3,1.5,3.3,11.9,MEM
15,Yuki Kawamura,23,PG,17,0,56,5.1,13.5,0.381,2.6,9.6,0.267,2.6,3.9,0.667,0.476,2.6,3.9,0.667,0.0,3.9,3.9,7.7,0.6,0.0,2.6,4.5,15.4,MEM
16,Colin Castleton,24,C,10,0,46,1.6,7.8,0.2,0.0,3.1,0.0,1.6,4.7,0.333,0.2,7.8,8.6,0.909,2.3,4.7,7.0,0.0,0.8,0.8,0.8,4.7,11.0,MEM
17,Vince Williams Jr.,24,SG,3,0,45,5.6,15.2,0.368,0.8,6.4,0.125,4.8,8.8,0.545,0.395,0.8,3.2,0.25,3.2,5.6,8.8,7.2,0.0,1.6,5.6,7.2,12.8,MEM
18,GG Jackson II,20,PF,2,0,21,5.1,12.0,0.429,1.7,6.9,0.25,3.4,5.1,0.667,0.5,0.0,0.0,,0.0,5.1,5.1,0.0,0.0,0.0,5.1,0.0,12.0,MEM
1,Stephen Curry,36,PG,35,35,1109,8.6,19.2,0.449,4.9,12.0,0.407,3.7,7.2,0.52,0.577,3.5,3.8,0.94,0.6,5.0,5.6,7.1,1.3,0.6,3.4,1.4,25.7,GSW
2,Andrew Wiggins,29,SF,37,37,1094,7.2,16.3,0.445,2.7,7.0,0.387,4.5,9.3,0.489,0.528,3.6,4.5,0.783,1.9,3.7,5.5,2.8,1.2,1.0,1.6,2.1,20.7,GSW
3,Buddy Hield,32,SG,43,11,1014,6.7,16.0,0.419,4.2,11.0,0.379,2.5,5.0,0.507,0.55,1.1,1.3,0.842,0.9,4.1,5.0,2.4,1.4,0.4,1.9,2.8,18.7,GSW
4,Draymond Green,34,PF,34,32,946,3.8,9.2,0.415,1.8,4.8,0.362,2.1,4.3,0.474,0.51,1.5,2.5,0.615,1.3,6.4,7.8,7.1,1.3,1.4,3.2,4.0,10.9,GSW
5,Trayce Jackson-Davis,24,C,42,34,858,6.4,11.2,0.575,0.0,0.0,0.0,6.4,11.1,0.577,0.575,2.0,3.4,0.6,4.2,7.3,11.5,3.9,0.8,1.4,1.6,2.6,14.9,GSW
6,Jonathan Kuminga,22,PF,32,10,832,8.4,18.3,0.459,1.7,5.0,0.345,6.7,13.3,0.502,0.506,4.7,7.3,0.639,1.9,5.0,6.9,3.0,1.3,0.8,2.2,2.6,23.2,GSW
7,Brandin Podziemski,21,SG,30,8,725,4.6,11.4,0.404,1.5,5.2,0.295,3.1,6.2,0.496,0.472,1.1,1.5,0.733,1.5,5.2,6.7,4.8,1.4,0.3,1.5,2.3,11.9,GSW
8,Lindy Waters III,27,SG,35,9,642,4.2,11.1,0.379,2.7,8.0,0.336,1.5,3.1,0.491,0.5,0.4,0.6,0.727,0.8,4.4,5.3,2.3,1.2,0.6,1.0,3.1,11.6,GSW
9,Moses Moody,22,SG,36,4,627,5.9,13.7,0.429,3.3,8.4,0.39,2.6,5.3,0.489,0.548,2.0,2.7,0.745,0.9,3.1,4.0,2.1,1.0,0.5,1.5,2.8,17.0,GSW
10,Kevon Looney,28,C,37,6,588,5.1,9.7,0.532,0.0,0.1,0.0,5.1,9.6,0.535,0.532,1.3,3.0,0.449,6.6,8.9,15.4,3.9,1.7,0.7,1.4,4.9,11.6,GSW
11,Kyle Anderson,31,PF,33,3,503,5.0,11.3,0.443,1.4,3.7,0.373,3.7,7.7,0.477,0.503,1.3,1.9,0.667,1.8,5.6,7.4,5.5,1.9,1.3,1.3,2.6,12.7,GSW
12,Dennis Schr̦der,31,SG,18,17,487,5.1,14.2,0.359,1.8,6.2,0.286,3.3,8.0,0.417,0.422,1.8,2.3,0.806,0.5,2.1,2.7,5.8,1.0,0.1,2.9,3.5,13.8,GSW
